resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Porton Biopharma Limited,,,,government-organisation:OT1184,,,,,,https://www.gov.uk/government/organisations/porton-biopharma-limited,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,"Digital, data and technology professions",,,,government-organisation:OT1182,,,,,,https://www.gov.uk/government/organisations/digital-data-and-technology-professions,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,National Data Guardian,,,,government-organisation:OT1180,,,,,,https://www.gov.uk/government/organisations/national-data-guardian,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,The Executive Office (Northern Ireland),,,,government-organisation:OT1179,,,,,,https://www.gov.uk/government/organisations/the-executive-office-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",,,,government-organisation:OT1178,,,,,,https://www.gov.uk/government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department of Finance (Northern Ireland),,,,government-organisation:OT1177,,,,,,https://www.gov.uk/government/organisations/department-of-finance-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department for Infrastructure (Northern Ireland),,,,government-organisation:OT1176,,,,,,https://www.gov.uk/government/organisations/department-for-infrastructure-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department of Health (Northern Ireland),,,,government-organisation:OT1175,,,,,,https://www.gov.uk/government/organisations/department-of-health-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department for the Economy (Northern Ireland),,,,government-organisation:OT1174,,,,,,https://www.gov.uk/government/organisations/department-for-the-economy-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department for Communities (Northern Ireland),,,,government-organisation:OT1173,,,,,,https://www.gov.uk/government/organisations/department-for-communities-northern-ireland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Committee on Fuel Poverty,,,,government-organisation:PB1172,,,,,,https://www.gov.uk/government/organisations/committee-on-fuel-poverty,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,UK Holocaust Memorial Foundation,,,,government-organisation:PB1171,,,,,,https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Financial Services Trade and Investment Board,,,,government-organisation:OT1169,,,,,,https://www.gov.uk/government/organisations/financial-services-trade-and-investment-board,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Service Complaints Ombudsman,,,,government-organisation:OT1168,,,,,,https://www.gov.uk/government/organisations/service-complaints-ombudsman,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Civil Service Fast Track Apprenticeship,,,,government-organisation:OT1167,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-track-apprenticeship,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Infrastructure and Projects Authority,,,,government-organisation:OT1166,,,,,,https://www.gov.uk/government/organisations/infrastructure-and-projects-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Historic England,,,,government-organisation:PB1164,,,,,,https://www.gov.uk/government/organisations/historic-england,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,National Infrastructure Commission,,,,government-organisation:OT1161,,,,,,https://www.gov.uk/government/organisations/national-infrastructure-commission,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Commercial Court,,,,government-organisation:CO1159,,,,,,https://www.gov.uk/courts-tribunals/commercial-court,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Ebbsfleet Development Corporation,,,,government-organisation:PB1154,,,,,,https://www.gov.uk/government/organisations/ebbsfleet-development-corporation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Defence and Security Media Advisory Committee,,,,government-organisation:OT1153,,,,,,https://www.gov.uk/government/organisations/defence-and-security-media-advisory-committee,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Disabled People’s Employment Corporation,,,,government-organisation:PB1152,,,,,,https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Payment Systems Regulator,,,,government-organisation:OT1151,,,,,,https://www.gov.uk/government/organisations/payment-systems-regulator,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Radioactive Waste Management,,,,government-organisation:OT1150,,,,,,https://www.gov.uk/government/organisations/radioactive-waste-management,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Independent Commission on Freedom of Information,,,,government-organisation:PB1149,,,,,,https://www.gov.uk/government/organisations/independent-commission-on-freedom-of-information,,
