resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-01-01,2020-12-04,,,,Royal Trustees' Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/royal-trustees-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-06-30,2020-12-04,,,,Office of the Health Professions Adjudicator,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-health-professions-adjudicator,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Bloody Sunday Inquiry,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/bloody-sunday-inquiry,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,1999-10-25,2020-12-04,,,,Office of the Commissioner for Protection Against Unlawful Industrial Action,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-commissioner-for-protection-against-unlawful-industrial-action,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office of the Commissioner for the Rights of Trade Union Members,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-commissioner-for-the-rights-of-trade-union-members,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-10-01,2020-12-04,,,,School Food Trust,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/school-food-trust,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Law Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-law-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-05-31,2020-12-04,,,,"Museums, Libraries and Archives Council",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/museums-libraries-and-archives-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Police Fund,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-police-fund,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Tenant Services Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/tenant-services-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Nimrod Review,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nimrod-review,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-03-31,2020-12-04,,,,British Educational Communications and Technology Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/british-educational-communications-and-technology-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-10-02,2020-12-04,,,,Working Ventures UK,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/working-ventures-uk,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National College for School Leadership,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-college-for-school-leadership,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-03-31,2020-12-04,,,,Capacitybuilders,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/capacitybuilders,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Advantage West Midlands,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/advantage-west-midlands,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-07-30,2020-12-04,,,,Child Maintenance and Enforcement Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/child-maintenance-and-enforcement-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,ICL Inquiry,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/icl-inquiry,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Pension, Disability and Carers Service",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/pension-disability-and-carers-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-06-30,2020-12-04,,,,Yorkshire Forward,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/yorkshire-forward,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2014-01-23,2020-12-04,,,,Northwest Business Link,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northwest-business-link,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-06-30,2020-12-04,,,,One North East,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/one-north-east,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-07-01,2020-12-04,,,,Northwest Regional Development Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northwest-regional-development-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-01-01,2020-12-04,,,,South East England Development Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/south-east-england-development-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-01-01,2020-12-04,,,,South West of England Regional Development Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/south-west-of-england-regional-development-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-07-01,2020-12-04,,,,East of England Development Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/east-of-england-development-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-04-01,2020-12-04,,,,Local Better Regulation Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/local-better-regulation-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-03-31,2020-12-04,,,,Children's Workforce Development Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/childrens-workforce-development-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2014-11-30,2020-12-04,,,,Independent Safeguarding Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/independent-safeguarding-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Parole Commissioners for Northern Ireland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/parole-commissioners-for-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-03-30,2020-12-04,,,,East Midlands Development Agency (emda),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/east-midlands-development-agency-emda,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Buying Solutions,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/buying-solutions,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Phoenix Sports,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/phoenix-sports,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-03-31,2020-12-04,,,,Commission for the Compact,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/commission-for-the-compact,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Wales Audit Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/wales-audit-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-07-02,2020-12-04,,,,Professional Oversight Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/professional-oversight-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-12-17,2020-12-04,,,,Sutherland Inquiry,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/sutherland-inquiry,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Policing Improvement Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-policing-improvement-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-07-05,2020-12-04,,,,Personal Accounts Delivery Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/personal-accounts-delivery-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-04-01,2020-12-04,,,,Horticultural Development Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/horticultural-development-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-04-01,2020-12-04,,,,Renewable Fuels Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/renewable-fuels-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-04-01,2020-12-04,,,,Animal Health,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/animal-health,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2013-04-01,2020-12-04,,,,NHS Information Centre,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nhs-information-centre,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-04-01,2020-12-04,,,,Postgraduate Medical Education and Training Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/postgraduate-medical-education-and-training-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Investors in People UK,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/investors-in-people-uk,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-01-31,2020-12-04,,,,Standards Board for England,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/standards-board-for-england,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Design Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/design-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National School of Government,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-school-of-government,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Commission for Rural Communities,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/commission-for-rural-communities,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-03-31,2020-12-04,,,,Healthcare Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/healthcare-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-04-01,2020-12-04,,,,British Potato Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/british-potato-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,1997-01-01,2020-12-04,,,,English Sports Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/english-sports-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Identity and Passport Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/identity-and-passport-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-04-01,2020-12-04,,,,Defence Vetting Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-vetting-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-04-01,2020-12-04,,,,Defence Bills Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-bills-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-07-06,2020-12-04,,,,"People, Pay and Pensions Agency",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/people-pay-and-pensions-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Judicial Appointments Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-judicial-appointments-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-04-01,2020-12-04,,,,Rent Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/rent-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,British Forces Post Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/british-forces-post-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Life Sentence Review Commissioners,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/life-sentence-review-commissioners,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-04-01,2020-12-04,,,,Meat and Livestock Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/meat-and-livestock-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-04-01,2020-12-04,,,,Particle Physics and Astronomy Research Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/particle-physics-and-astronomy-research-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-12-01,2020-12-04,,,,English Partnerships,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/english-partnerships,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-03-31,2020-12-04,,,,Meat Hygiene Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/meat-hygiene-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-01-01,2020-12-04,,,,Pesticides Safety Directorate,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/pesticides-safety-directorate,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2006-03-21,2020-12-04,,,,Enterprise Ulster,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/enterprise-ulster,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Food Safety Promotion Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/food-safety-promotion-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Waterways Ireland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/waterways-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Museums and Galleries of Northern Ireland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-museums-and-galleries-of-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Revenue and Customs Prosecutions Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/revenue-and-customs-prosecutions-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Western Health and Social Services Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/western-health-and-social-services-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Eastern Health and Social Services Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/eastern-health-and-social-services-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Southern Health and Social Services Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/southern-health-and-social-services-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Health and Social Services Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-health-and-social-services-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Loughs Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/loughs-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Ashington Education Action Zone,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/ashington-education-action-zone,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-07-09,2020-12-04,,,,National Patient Safety Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-patient-safety-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-01-01,2020-12-04,,,,State Veterinary Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/state-veterinary-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Western Education and Library Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/western-education-and-library-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,South Eastern Education and Library Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/south-eastern-education-and-library-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Practice and Education Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-practice-and-education-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for Employment and Learning,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-employment-and-learning,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2006-11-30,2020-12-04,,,,New Opportunities Fund,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/new-opportunities-fund,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-04-01,2020-12-04,,,,Milk Development Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/milk-development-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-03-31,2020-12-04,,,,UK Film Council,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/uk-film-council,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Livestock and Meat Commission for Northern Ireland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/livestock-and-meat-commission-for-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-04-01,2020-12-04,,,,Defence Transport and Movements Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-transport-and-movements-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Appeals Service Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/appeals-service-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-12-30,2020-12-04,,,,Central Office of Information,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/central-office-of-information,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Pension Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/pension-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,UK Government Decontamination Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/uk-government-decontamination-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-04-01,2020-12-04,,,,Marine Fisheries Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/marine-fisheries-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Commission for Architecture and the Built Environment (CABE),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/commission-for-architecture-and-the-built-environment-cabe,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-04-01,2020-12-04,,,,Council for the Central Laboratory of the Research Councils,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/council-for-the-central-laboratory-of-the-research-councils,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2012-10-31,2020-12-04,,,,Thurrock Thames Gateway Development Corporation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Commissioner for Children and Young People,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-commissioner-for-children-and-young-people,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Criminal Injuries Compensation Appeals Panel,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/criminal-injuries-compensation-appeals-panel,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-04-01,2020-12-04,,,,Defence Medical Education and Training Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-medical-education-and-training-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-12-01,2020-12-04,,,,Housing Corporation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/housing-corporation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-10-01,2020-12-04,,,,Postal Services Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/postal-services-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2006-10-01,2020-12-04,,,,English Nature,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/english-nature,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-03-31,2020-12-04,,,,Police Information Technology Organisation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/police-information-technology-organisation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Roads Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/roads-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-12-30,2020-12-04,,,,Government Car and Despatch Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/government-car-and-despatch-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Criminal Injuries Compensation Appeals Panel for Northern Ireland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/criminal-injuries-compensation-appeals-panel-for-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Ombudsman,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-ombudsman,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2011-01-01,2020-12-04,,,,Office of the Legal Services Ombudsman,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-legal-services-ombudsman,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2013-10-01,2020-12-04,,,,Public Lending Right Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/public-lending-right-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Forest Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/forest-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Commission for Social Care Inspection,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/commission-for-social-care-inspection,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-04-01,2020-12-04,,,,Disposal Services Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/disposal-services-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-03-31,2020-12-04,,,,Commission for Patient and Public Involvement in Health,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/commission-for-patient-and-public-involvement-in-health,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-03-31,2020-12-04,,,,Central Science Laboratory,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/central-science-laboratory,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Tourist Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-tourist-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-03-31,2020-12-04,,,,Central Police Training and Development Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/central-police-training-and-development-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2008-01-01,2020-12-04,,,,Disability and Carers Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/disability-and-carers-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-06-15,2020-12-04,,,,OGCbuyingsolutions,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/ogcbuyingsolutions,
